Zone,Run,Duration,Accuracy
us-east1-c,1,14070.56512093544,0.9309999942779541
us-east1-c,2,14073.022126197815,0.9308000206947327
us-east1-c,3,14068.220718860626,0.927299976348877
us-east1-c,4,14310.012778997421,0.933899998664856
us-east1-c,5,14186.30295085907,0.9352999925613403
us-east1-c,6,13949.974570035934,0.9297999739646912
us-east1-c,7,14067.309396982193,0.9304999709129333
us-east1-c,8,14070.190081119537,0.9273999929428101
us-east1-c,9,14066.699124097824,0.9304999709129333
us-east1-c,10,13947.747550010681,0.9301000237464905
