Zone,Run,Cost
spot8-us-east1-c,1,1.1413684405779998
spot8-us-east1-c,2,1.1133064
spot8-us-east1-c,3,1.1163449000000003
spot8-us-east1-c,4,1.0804906000000003
spot8-us-east1-c,5,1.168183702898
spot8-us-east1-c,6,1.1205988
spot8-us-east1-c,7,1.1169526
spot8-us-east1-c,8,1.11755580233
spot8-us-central1-c,1,1.1175603
spot8-us-central1-c,2,1.145034169179
spot8-us-central1-c,3,1.1145218000000001
spot8-us-central1-c,4,1.118168
spot8-us-central1-c,5,1.1163449000000003
spot8-us-central1-c,6,1.0798829
spot8-us-central1-c,7,1.0804906000000003
spot8-us-central1-c,8,1.0810983
spot8-us-central1-c,9,1.1151295
spot8-us-west1-b,1,1.144413651523
spot8-us-west1-b,2,1.0774521
spot8-us-west1-b,3,1.0810983
spot8-us-west1-b,4,1.118168
spot8-us-west1-b,5,1.1169526
spot8-us-west1-b,6,1.1187757000000003
spot8-us-west1-b,7,1.1187757000000003
spot8-us-west1-b,8,1.0841368
spot8-us-west1-b,9,1.1546300000000003
spot8-europe-west1-b,1,1.1169526
spot8-europe-west1-b,2,1.1157372
spot8-europe-west1-b,3,1.1175603
spot8-europe-west1-b,4,1.118168
spot8-europe-west1-b,5,1.1193833999999998
spot8-europe-west1-b,6,1.1187757000000003
